iter	Passed	Remaining
0	155	155197
1	160	80187
2	165	55131
3	170	42565
4	181	36074
5	191	31744
6	199	28337
7	205	25503
8	211	23260
9	216	21400
10	218	19666
11	221	18261
12	224	17019
13	228	16064
14	231	15194
15	234	14398
16	237	13741
17	240	13100
18	242	12501
19	244	12002
20	247	11518
21	249	11086
22	251	10668
23	252	10286
24	254	9935
25	256	9598
26	258	9301
27	260	9025
28	262	8788
29	264	8549
30	266	8327
31	268	8117
32	270	7914
33	271	7722
34	273	7542
35	275	7373
36	277	7212
37	278	7059
38	280	6915
39	282	6780
40	284	6654
41	286	6531
42	288	6413
43	290	6304
44	291	6196
45	293	6090
46	295	5990
47	297	5893
48	298	5801
49	300	5712
50	302	5626
51	304	5543
52	306	5468
53	307	5393
54	309	5321
55	311	5251
56	313	5184
57	315	5121
58	317	5058
59	318	4996
60	320	4938
61	322	4880
62	324	4824
63	326	4769
64	327	4716
65	329	4665
66	331	4616
67	333	4568
68	335	4521
69	338	4491
70	339	4438
71	341	4395
72	342	4353
73	344	4312
74	346	4272
75	348	4233
76	350	4196
77	352	4168
78	356	4154
79	359	4131
80	362	4108
81	364	4076
82	366	4054
83	368	4021
84	370	3991
85	372	3960
86	374	3930
87	376	3901
88	378	3872
89	380	3845
90	382	3816
91	383	3788
92	385	3761
93	387	3734
94	389	3708
95	391	3682
96	392	3657
97	394	3633
98	396	3609
99	398	3585
100	400	3561
101	401	3538
102	403	3516
103	405	3493
104	407	3472
105	409	3454
106	411	3436
107	415	3429
108	418	3421
109	422	3417
110	425	3407
111	427	3390
112	430	3375
113	433	3367
114	435	3352
115	439	3347
116	443	3347
117	445	3331
118	447	3314
119	450	3304
120	453	3295
121	456	3281
122	458	3267
123	460	3250
124	462	3235
125	464	3221
126	466	3208
127	468	3194
128	472	3192
129	475	3181
130	477	3168
131	479	3154
132	482	3145
133	486	3140
134	488	3129
135	490	3116
136	492	3100
137	495	3092
138	498	3090
139	501	3078
140	503	3066
141	504	3050
142	506	3038
143	509	3026
144	511	3016
145	514	3011
146	518	3006
147	520	2995
148	522	2984
149	524	2973
150	527	2967
151	530	2959
152	534	2957
153	537	2955
154	541	2950
155	543	2939
156	546	2934
157	549	2926
158	552	2923
159	555	2917
160	559	2915
161	562	2908
162	566	2907
163	569	2902
164	572	2896
165	573	2882
166	575	2872
167	577	2861
168	579	2850
169	582	2842
170	585	2836
171	586	2825
172	588	2815
173	591	2806
174	593	2797
175	595	2787
176	597	2778
177	599	2769
178	601	2760
179	603	2750
180	605	2741
181	607	2732
182	609	2722
183	611	2713
184	613	2703
185	615	2694
186	617	2685
187	619	2675
188	621	2667
189	623	2658
190	625	2649
191	627	2640
192	629	2631
193	631	2623
194	633	2615
195	637	2613
196	639	2604
197	641	2596
198	643	2588
199	645	2580
200	647	2573
201	649	2566
202	651	2558
203	653	2550
204	655	2542
205	657	2534
206	659	2526
207	661	2518
208	663	2510
209	665	2502
210	667	2495
211	670	2492
212	672	2484
213	674	2477
214	676	2469
215	678	2461
216	680	2454
217	682	2447
218	684	2440
219	686	2433
220	688	2426
221	690	2419
222	692	2411
223	694	2404
224	696	2397
225	698	2391
226	700	2384
227	702	2377
228	704	2370
229	705	2363
230	707	2356
231	709	2350
232	711	2343
233	714	2338
234	716	2331
235	718	2325
236	720	2318
237	722	2312
238	724	2306
239	726	2301
240	730	2299
241	733	2297
242	736	2294
243	739	2292
244	742	2287
245	745	2286
246	749	2285
247	752	2281
248	756	2280
249	758	2276
250	760	2270
251	764	2269
252	768	2268
253	772	2268
254	776	2268
255	778	2263
256	781	2259
257	783	2253
258	786	2248
259	788	2242
260	789	2236
261	791	2230
262	793	2224
263	795	2218
264	797	2212
265	799	2206
266	801	2200
267	803	2194
268	805	2188
269	807	2182
270	809	2176
271	810	2170
272	812	2164
273	814	2158
274	816	2153
275	819	2149
276	821	2143
277	823	2137
278	825	2132
279	827	2127
280	829	2121
281	831	2116
282	833	2111
283	835	2105
284	837	2099
285	838	2094
286	840	2088
287	843	2084
288	845	2080
289	849	2079
290	852	2076
291	854	2071
292	856	2065
293	859	2063
294	861	2058
295	863	2053
296	865	2047
297	866	2042
298	868	2037
299	870	2032
300	873	2027
301	875	2022
302	877	2018
303	879	2014
304	882	2010
305	884	2006
306	885	1999
307	887	1994
308	890	1990
309	891	1985
310	893	1980
311	895	1975
312	897	1970
313	899	1965
314	901	1960
315	903	1956
316	906	1952
317	908	1947
318	910	1942
319	911	1937
320	913	1932
321	915	1928
322	931	1951
323	942	1965
324	954	1982
325	957	1978
326	959	1975
327	961	1970
328	963	1965
329	965	1960
330	967	1955
331	969	1951
332	971	1946
333	973	1941
334	975	1936
335	977	1931
336	979	1927
337	981	1922
338	983	1917
339	985	1912
340	987	1907
341	988	1901
342	990	1896
343	991	1891
344	993	1886
345	995	1881
346	997	1877
347	999	1872
348	1001	1867
349	1003	1863
350	1005	1858
351	1006	1853
352	1008	1848
353	1010	1844
354	1012	1839
